U_In-5p,U_As-4p,a(A),Eg(eV),meff
-5.0,4.35,6.164668843343353,0.4142730773154087,0.023580490175449578
-4.95,4.35,6.163515225630589,0.4179830168560947,0.02378364033298487
-4.9,4.35,6.16235539853285,0.42171313809087463,0.023987778628778923
-4.85,4.35,6.161192760264757,0.4254558260861156,0.024192441490771623
-4.85,4.3,6.162867255569615,0.40857475526424364,0.023314176656487717
-4.8,4.3,6.161697921564855,0.4123359916006452,0.02352080028471441
-4.75,4.3,6.160519726116977,0.4161246662961941,0.023728801074776554
-4.7,4.3,6.159349943047064,0.4198951650288988,0.023935847815802918
-4.65,4.3,6.158163193676576,0.4237139341586125,0.02414538395775595
-4.65,4.25,6.159840488709011,0.40684400376658314,0.023265643926618014
-4.6,4.25,6.158647047800566,0.4106828321424726,0.02347711733162246
-4.55,4.25,6.157448138834519,0.4145394714807976,0.023689517982340175
-4.5,4.25,6.1562425252496125,0.41841856100780045,0.02390303039087174
-4.45,4.25,6.155030620981124,0.42231809252629837,0.024117553542743433
-4.4,4.25,6.15381437819504,0.42623299465914016,0.024323471578149562
-4.4,4.2,6.155494766224255,0.40937093616390524,0.023452560986597468
-4.35,4.2,6.154272321359942,0.41330356661098017,0.02366986055646171
-4.3,4.2,6.153043859151389,0.4172593525271782,0.023908357947007783
-4.25,4.2,6.151816858022815,0.42121361551693154,0.024105481434261375
-4.2,4.2,6.150576766114991,0.4252067763595509,0.024325680337885437
-4.2,4.15,6.152255872738167,0.4083646968675491,0.0234446613238449
-4.15,4.15,6.1509332814847895,0.4125762506561302,0.023677320894868546
-4.1,4.15,6.1496916117913365,0.4165799330243924,0.023899022148994885
-4.05,4.15,6.148500217013021,0.4204567461146601,0.024113975942033815
-4.0,4.15,6.147259915232013,0.4244661445599111,0.024335851288227184
-4.0,4.1,6.148963343956127,0.4075777519479074,0.023450627025857984
-3.95,4.1,6.147714238050151,0.41161317785667556,0.02367479477686958
-3.9,4.1,6.146458744426798,0.4156687503134832,0.023900109488566895
-3.85,4.1,6.145149199024838,0.4198704710269814,0.02413309263147418
-3.8,4.1,6.143816779456872,0.424137359473284,0.02436939047568587
-3.8,4.05,6.145547556865555,0.4071940520712093,0.023479569512674475
-3.75,4.05,6.144213389874921,0.4114681729109103,0.023717273491609885
-3.7,4.05,6.142911402179324,0.4156616125012275,0.02395077771845433
-3.65,4.05,6.141604716778964,0.41987331344718426,0.024185057100075718
-3.6,4.05,6.1402918466491805,0.4241048298233006,0.024420518238190168
-3.6,4.0,6.141987930783828,0.40727117585444345,0.023534633218843515
-3.55,4.0,6.140667002605504,0.4115269884541278,0.023772310039850524
-3.5,4.0,6.13936561527394,0.4157357951691536,0.024007467544837027
-3.45,4.0,6.138030862975699,0.4200376371381159,0.02424791106503656
-3.4,4.0,6.1366927637226185,0.4243529725292679,0.02448862796373064
-3.4,3.95,6.1383926146387084,0.40752643979938263,0.02360148080801479
-3.35,3.95,6.137062323831819,0.41182428047580416,0.02384230003003793
-3.3,3.95,6.135706924081058,0.41619172306255076,0.02408686501294027
-3.25,3.95,6.1343345146770165,0.4206098287183964,0.024333941380512675
-3.2,3.95,6.132965138288281,0.4250240732906333,0.02458087600579542
-3.2,3.9,6.134666626678307,0.4082109532231131,0.02369285513326809
-3.15,3.9,6.13329284445206,0.4126396203319381,0.023941628659603302
-3.1,3.9,6.131916405298079,0.4170804688098252,0.02419101042332685
-3.05,3.9,6.130543012904019,0.42151917423838475,0.02444606823651492
-3.0,3.9,6.129272959842018,0.4256901755274535,0.024675172136583913
-3.0,3.85,6.13086459690897,0.40918321258385176,0.023816722662931018
-2.95,3.85,6.129590113381863,0.4133688978254534,0.02403864605911253
-2.9,3.85,6.12817676387592,0.41792484540856756,0.024295122477074816
-2.85,3.85,6.126746189236735,0.42253063987833167,0.02455428246655806
-2.8,3.85,6.125314906766578,0.4271434242996347,0.024813800606893293
-2.8,3.8,6.1270304154139,0.4103286971933892,0.023922562667688312
-2.75,3.8,6.125592796457937,0.4149609654446699,0.024184269518237267
-2.7,3.8,6.124134063046247,0.4196546340073725,0.02444914501939932
-2.65,3.8,6.122712129885561,0.4242560029416365,0.024709115072474447
-2.65,3.75,6.124419872537494,0.40748188623264336,0.023817406448837564
-2.6,3.75,6.122979254887692,0.412135762292447,0.024081290591009368
-2.55,3.75,6.121472729617069,0.41696789196937817,0.02435472350353849
-2.5,3.75,6.119992407316308,0.42173692333570734,0.02462473634341907
-2.45,3.75,6.118512835209715,0.42650926836745057,0.024894865329760988
-2.45,3.7,6.12023815341432,0.4097058276293685,0.024000328349556305
-2.4,3.7,6.118749294521003,0.41450616473866503,0.024273116143312692
-2.35,3.7,6.117185609963843,0.4195075790771386,0.024556798153733125
-2.3,3.7,6.115697731779467,0.42431591720737166,0.02482998612358474
-2.3,3.65,6.117412264762765,0.40756095637965073,0.02393554004199814
-2.25,3.65,6.115911696135539,0.4124054777324248,0.024211891684032753
-2.2,3.65,6.114458608114632,0.41713038119508117,0.024481778930228907
-2.15,3.65,6.112259356640919,0.4238237050816159,0.024857879073566347
-2.15,3.6,6.114101271476508,0.40675212804306093,0.023944350174747577
-2.1,3.6,6.112342711025911,0.4122900960973601,0.02425938008196399
-2.05,3.6,6.109057378321455,0.42191869435970636,0.024790446642682956
-2.0,3.6,6.108523739046224,0.4241780577529761,0.02493310003114489
-2.0,3.55,6.109133047418591,0.4104351540394004,0.024193451981043907
-1.95,3.55,6.10894778423404,0.4117822004070867,0.024287086973901726
-1.9,3.55,6.107496676352079,0.4165319441311047,0.024666748029662282
-1.85,3.55,6.107016594018454,0.4187321989724417,0.024722334892026895
-1.8,3.55,6.1067371999999995,0.4199672845173631,0.024824464049772923
-1.75,3.55,6.1067371999999995,0.4209161174062643,0.024891214439941148
-1.75,3.5,6.1067371999999995,0.40872926207491517,0.02423937491546603
-1.7,3.5,6.1067371999999995,0.4096833464103586,0.024306394325341815
-1.65,3.5,6.1036743721597695,0.4191357064795758,0.024791791740378304
-1.6,3.5,6.101266835904728,0.4264333549011276,0.025205459311831633
-1.6,3.45,6.104638180299125,0.40539684899552053,0.024068494460760342
-1.55,3.45,6.1014051150440585,0.41486921403019605,0.024603257900007287
-1.5,3.45,6.099623134727747,0.42053255425902514,0.024929315796719642
-1.45,3.45,6.098015540608669,0.4257406709517284,0.02523027850099278
-1.45,3.4,6.099735617209536,0.409067823264479,0.024330350189282642
-1.4,3.4,6.098119369937801,0.4143026849883503,0.024634037040671585
-1.35,3.4,6.0964900217581635,0.419578479204639,0.024939913005111027
-1.3,3.4,6.094859621736247,0.4248627389331609,0.025246297077789772
-1.3,3.35,6.096582007870038,0.40820355890043086,0.024344774908111506
-1.25,3.35,6.094941887653866,0.4135175869582375,0.024654066698601013
-1.2,3.35,6.0933000250773866,0.41884195943354346,0.024954222840418795
-1.15,3.35,6.091632816860751,0.42423947047699767,0.025277985133911822
-1.15,3.3,6.093369483124757,0.40756301434059605,0.02436374027428585
-1.1,3.3,6.091691307985242,0.4129931966501057,0.02469024480696071
-1.05,3.3,6.090017367712067,0.4184184490693241,0.025007041218429397
-1.0,3.3,6.088430206185726,0.4236200851556288,0.025311551795666267
-1.0,3.25,6.090158956462441,0.4069858288023847,0.024406607652472975
-0.95,3.25,6.088390958541285,0.4126681624045972,0.024739074715600856
-0.9,3.25,6.086672912222299,0.418225581661591,0.02506462805255502
-0.85,3.25,6.084916409958268,0.4238906732643705,0.02539614929973773
-0.85,3.2,6.086640325819784,0.4071761194619396,0.024485870750771768
-0.8,3.2,6.085012886638351,0.41250652122815457,0.024800032630188495
-0.75,3.2,6.0832883766338535,0.4180986541300928,0.025128817914339366
-0.7,3.2,6.081575338838326,0.4236669341501081,0.02545630878956697
-0.7,3.15,6.083297271856212,0.4070898069436414,0.024550168190194125
-0.65,3.15,6.081555073263396,0.4127396383427283,0.024883568464890763
-0.6,3.15,6.079859273941042,0.4182735910726278,0.025210502740029745
-0.55,3.15,6.078115826950943,0.4239383307654325,0.025544888649967484
-0.55,3.1,6.079839536242802,0.4073783325154162,0.024637328057225336
-0.5,3.1,6.078084470427361,0.41307808864208784,0.02497509481614522
-0.45,3.1,6.0763254327541745,0.4187950805108494,0.02531381906553491
-0.4,3.1,6.074564569085324,0.42452223260413385,0.025653251531153283
-0.4,3.05,6.07629177960823,0.40797488721768155,0.024744064110202958
-0.35,3.05,6.074521170559125,0.4137321946627423,0.025086645227089574
-0.3,3.05,6.072744360727731,0.4195131976991882,0.025430499239368683
-0.25,3.05,6.070956839223287,0.42532900615946134,0.025776354465337513
-0.25,3.0,6.072688206409537,0.40879145301424574,0.024865488564599598
-0.2,3.0,6.070893877722342,0.41462926149789114,0.025209441860961707
-0.15,3.0,6.069095235724148,0.4204850134561063,0.025563475572524284
-0.1,3.0,6.067292029852875,0.42635940062441713,0.025914257168282474
-0.1,2.95,6.069015919389122,0.409862310304328,0.025003498147927634
-0.05,2.95,6.067202322906361,0.4157693760202534,0.02535756108976569
0.0,2.95,6.065385806145466,0.42168840519443324,0.025712550021508466
0.05,2.95,6.063563136651953,0.4276320342605354,0.026068882256430954
0.05,2.9,6.065284726101896,0.4111628609549166,0.025157450983143745
0.1,2.9,6.063452651363394,0.4171360974779356,0.02551692834614261
0.15,2.9,6.061541995416094,0.423323647055422,0.025888601438795362
0.15,2.85,6.063339418451289,0.4066766155010245,0.024963612210076574
0.2,2.85,6.061411820501549,0.4129153437958747,0.025339680720231048
0.25,2.85,6.059541957024995,0.41900578310010034,0.02570758103681902
0.3,2.85,6.0576865440547705,0.42506486888024564,0.026073813971087413
0.3,2.8,6.059415531918129,0.4086213313346633,0.02515802803335228
0.35,2.8,6.057644542652113,0.41446489949132287,0.025513464373550548
0.4,2.8,6.055776904869708,0.42056789014550544,0.025883912690307362
0.45,2.8,6.05390952577667,0.42667679303291595,0.02625486174888133
0.45,2.75,6.055626787222499,0.41028837704455207,0.02533978747900471
0.5,2.75,6.053754880236627,0.41641542367193957,0.025713284746358592
0.55,2.75,6.0518853169038165,0.42253998602041015,0.026086802112499433
0.55,2.7,6.053610668395975,0.4061535540299249,0.025168203470405232
0.6,2.7,6.051727472403332,0.41232096645232813,0.025545804086985133
0.65,2.7,6.049839872293104,0.41850732473556906,0.025924501376947885
0.7,2.7,6.047937522953653,0.42473850022730836,0.02630598503821643
0.7,2.65,6.049659442630663,0.4083825296634244,0.025386928855718093
0.75,2.65,6.0477475530187075,0.4146435602658252,0.025771767027854907
0.8,2.65,6.0458355341145325,0.42090985436571526,0.026157202761562845
0.85,2.65,6.043911220823913,0.4272158489700695,0.02654507974260659
0.85,2.6,6.0456286435056015,0.41089425803973045,0.025625825071845618
0.9,2.6,6.04370403637624,0.4172076438722683,0.02601566782469355
0.95,2.6,6.04177933405721,0.4235259566590063,0.02640607738217833
0.95,2.55,6.043495263535238,0.4072325699140091,0.02548467954902248
1.0,2.55,6.041565833116586,0.4135685728686928,0.02587778289563496
1.05,2.55,6.039633712678568,0.41991980304318466,0.026281177931865428
1.1,2.55,6.037696010355951,0.42629015224014793,0.026667696903535192
1.1,2.5,6.039417838184281,0.4100050845628689,0.025744381939732604
1.15,2.5,6.037474513085361,0.41639651862726873,0.026142860579144864
1.2,2.5,6.0354479509070424,0.4230140817818424,0.026554732331873884
1.2,2.45,6.03724257218288,0.4065606009400906,0.0256179811358868
