U_In-5p,U_Sb-5p,Eg(eV)
-4.27,4.33,0.23516888867857633
-4.26,4.33,0.23619571199787193
-4.26,4.32,0.23293306435472294
-4.25,4.32,0.23395988767509635
-4.24,4.32,0.23498806603853728
-4.23,4.32,0.2360224018966801
-4.22,4.32,0.23705673775482294
-4.22,4.31,0.2337840785406642
-4.21,4.31,0.23481576158755635
-4.2,4.31,0.23585221497508857
-4.19,4.31,0.23688866835866595
-4.19,4.3,0.23362061764576159
-4.18,4.3,0.2346570710302931
-4.17,4.3,0.23569352441638824
-4.16,4.3,0.23673456528880288
-4.16,4.29,0.23346914342851965
-4.15,4.29,0.23450823627222372
-4.14,4.29,0.2355473291171153
-4.13,4.29,0.23658642196213098
-4.13,4.28,0.23332100010287093
-4.12,4.28,0.23437181543943897
-4.11,4.28,0.23541357882638247
-4.1,4.28,0.23645534221245068
-4.1,4.27,0.23319397473709547
-4.09,4.27,0.23423904691050246
-4.08,4.27,0.23528913761403603
-4.07,4.27,0.2363392283175696
-4.07,4.26,0.2330667433722977
-4.06,4.26,0.23411494932833232
-4.05,4.26,0.23516747898090773
-4.04,4.26,0.23622000863006543
-4.04,4.25,0.23295399738835498
-4.03,4.25,0.2340065270391365
-4.02,4.25,0.23505905668991778
-4.01,4.25,0.2361144122958434
-4.01,4.24,0.23285127412954787
-4.0,4.24,0.23390668854438657
-3.99,4.24,0.23496210296540054
-3.98,4.24,0.2360175173782939
-3.97,4.24,0.23707293179603695
-3.97,4.23,0.23381911007973732
-3.96,4.23,0.2348767445925184
-3.95,4.23,0.23593437908956183
-3.94,4.23,0.23699201359482092
-3.94,4.22,0.23373660714651767
-3.93,4.22,0.2348024027987714
-3.92,4.22,0.2358681984574582
-3.91,4.22,0.23693399411497773
-3.91,4.21,0.23366275784623802
-3.9,4.21,0.23473068381943274
-3.89,4.21,0.23579860979104805
-3.88,4.21,0.23686653576746375
-3.88,4.2,0.2336026343917963
-3.87,4.2,0.23467056036756961
-3.86,4.2,0.2357439041649363
-3.85,4.2,0.23681469564767954
-3.85,4.19,0.23355364665662615
-3.84,4.19,0.2346244381476541
-3.83,4.19,0.23569522962558254
-3.82,4.19,0.23676602111038458
-3.82,4.18,0.2335988415372776
-3.81,4.18,0.23468932089845906
-3.8,4.18,0.23577980028030954
-3.79,4.18,0.23687027966216023
-3.79,4.17,0.233598267497229
-3.78,4.17,0.2347119928820134
-3.77,4.17,0.23582571830545573
-3.76,4.17,0.2369394437345993
-3.76,4.16,0.23356055590137825
-3.75,4.16,0.23468812429277963
-3.74,4.16,0.23581569264588653
-3.73,4.16,0.23694326109040365
-3.73,4.15,0.23361373703842236
-3.72,4.15,0.23474130543325056
-3.71,4.15,0.2358880239039629
-3.7,4.15,0.23702199649311328
-3.7,4.14,0.23369884166663613
-3.69,4.14,0.23483281430851166
-3.68,4.14,0.23596678693943773
-3.67,4.14,0.23710075957742816
-3.67,4.13,0.23379301249117534
-3.66,4.13,0.23492859424739865
-3.65,4.13,0.2360641760033806
-3.64,4.13,0.23719975775936275
-3.64,4.12,0.23381155061404413
-3.63,4.12,0.23494623001652393
-3.62,4.12,0.23608090939685367
-3.61,4.12,0.23721558877211169
-3.61,4.11,0.2339409792731233
-3.6,4.11,0.23506613209688276
-3.59,4.11,0.23619128493016528
-3.59,4.1,0.2328823991124993
-3.58,4.1,0.234007551949849
-3.57,4.1,0.23513270478719872
-3.56,4.1,0.2362357503809278
-3.56,4.09,0.23293353114906856
-3.55,4.09,0.23406536017483437
-3.54,4.09,0.23519718922538768
-3.53,4.09,0.23632901823898322
-3.53,4.08,0.2330267989915087
-3.52,4.08,0.23412783531722114
-3.51,4.08,0.23525455643243953
-3.5,4.08,0.23638127755214322
-3.5,4.07,0.23310305323454994
-3.49,4.07,0.2342623718462853
-3.48,4.07,0.23537511172148773
-3.47,4.07,0.23648785159669017
