U_Ga-4p,U_Sb-5p,a(A),Eg(eV),meff
-1.3,4.55,6.095118420112764,0.8157203379555861,0.13373714066848322
-1.3,4.5,6.097425843456251,0.7983622909792857,0.13267770847618668
-1.25,4.5,6.094083565440997,0.8120382452096152,0.13361517234287076
-1.2,4.5,6.091619112024531,0.8219339311959123,0.13429544708665306
-1.2,4.45,6.0924988545611125,0.8103516733560998,0.13363320190299596
-1.15,4.45,6.091450630750218,0.8152017729862538,0.13396126573351125
-1.1,4.45,6.0908618,0.8190880103634125,0.1342224903286933
-1.1,4.4,6.0908618,0.8100022864039041,0.13373531066514616
-1.05,4.4,6.0908618,0.811794777015472,0.13385012212416927
-1.05,4.35,6.0908618,0.8027281452303274,0.13336523500116046
-1.0,4.35,6.0908618,0.8045318982059053,0.13348103475326661
-0.95,4.35,6.087481231888551,0.8191031004565338,0.1344916621777235
-0.95,4.3,6.090062691401299,0.8008202537350401,0.1333593088283814
-0.9,4.3,6.087379987412853,0.8122430058158163,0.13415028791174127
-0.9,4.25,6.087848446879576,0.8015467804328216,0.1335503451131631
-0.85,4.25,6.085061109582644,0.8133659100417345,0.1343721904778264
-0.8,4.25,6.0827800528045985,0.8233892132664904,0.13507258698402608
-0.8,4.2,6.084459910830517,0.8083649055790179,0.13416309893161701
-0.75,4.2,6.082173179469031,0.8184225263724142,0.13486598816224007
-0.75,4.15,6.083857190221534,0.8034018490758503,0.13395747568367838
-0.7,4.15,6.081562272714857,0.8135004137414497,0.13466321347082352
-0.65,4.15,6.079258682869334,0.823648122639992,0.13537713538438798
-0.65,4.1,6.08094438541547,0.8086372745307067,0.13446551772879922
-0.6,4.1,6.078635171314662,0.8188186535197131,0.13518193825747882
-0.6,4.05,6.080321006713791,0.8038254135508216,0.13427220068843584
-0.55,4.05,6.078004055450475,0.8140485894681808,0.13499169194837113
-0.5,4.05,6.075695130786305,0.8242570642279697,0.1357149166665216
-0.5,4.0,6.077369970289685,0.8093202459616994,0.1348052227507134
-0.45,4.0,6.075044299850422,0.8196051241142933,0.13553418254845706
-0.45,3.95,6.076725217868849,0.8046653781481391,0.13462482484170946
-0.4,3.95,6.074397569558201,0.8149683242526331,0.13535524610763006
-0.4,3.9,6.076082808693728,0.8000335037669305,0.13444682593177937
-0.35,3.9,6.073746904374904,0.8103819779011712,0.13518079358985266
-0.3,3.9,6.07141788443606,0.8207241096221326,0.13591936222615947
-0.3,3.85,6.073101462784163,0.805808692849826,0.13500803727151986
-0.25,3.85,6.070758922406628,0.8162123890063597,0.13575138169124373
-0.25,3.8,6.0724428921775155,0.8013150489490688,0.13484177970414585
-0.2,3.8,6.070041626834784,0.8119448137362683,0.13560190397989272
-0.15,3.8,6.0676994474839,0.8223789238377026,0.1363530918754827
-0.15,3.75,6.069370697464312,0.8075429268622203,0.13544342820721805
-0.1,3.75,6.067059683914109,0.8178801188549937,0.1361880638241261
-0.1,3.7,6.068695928995276,0.8031895799531167,0.13528928288056208
-0.05,3.7,6.066404196499825,0.8134686643377795,0.1360300139637939
0.0,3.7,6.064043901557625,0.8240158953112645,0.13679587013844
0.0,3.65,6.065722920860163,0.8091877203389555,0.13588252945196647
0.05,3.65,6.063360397562334,0.8197554066472701,0.13665025371571393
0.05,3.6,6.065040523891128,0.8049429647707502,0.1357383479670191
0.1,3.6,6.062674779120874,0.8155377907599503,0.13650858916435335
0.1,3.55,6.064358248272516,0.800731336078123,0.13559741426207145
0.15,3.55,6.061986176114736,0.8113621962445153,0.13637077822528898
0.2,3.55,6.05961548691947,0.8220072932880129,0.13715110840092334
0.2,3.5,6.061295013786983,0.8072312825618323,0.1362371296082275
0.25,3.5,6.058916075550642,0.8179205918830547,0.13702137733695077
0.25,3.45,6.060603714389151,0.8031353483270116,0.13610692867770266
0.3,3.45,6.058231742131047,0.813813478091347,0.13689100855224143
0.35,3.45,6.055835768367443,0.8245978121952291,0.13768891345674927
0.35,3.4,6.057519700850297,0.8098414836744914,0.13677135491711293
0.4,3.4,6.055114650294126,0.8206737180325765,0.13757374366865766
0.4,3.35,6.056800701022893,0.8059291926698335,0.13665708454830303
0.45,3.35,6.054398051451016,0.8167675737197945,0.1374607775567462
0.45,3.3,6.056084831338905,0.8020404719832066,0.13654547549837676
0.5,3.3,6.053678635617141,0.8129059401907068,0.13735182251970396
0.55,3.3,6.051279004159137,0.823766219996164,0.13816435712803496
0.55,3.25,6.052963851315941,0.8090633996181398,0.1372454139675328
0.6,3.25,6.050558158983138,0.8199607523554128,0.1380615898449021
0.6,3.2,6.052248500311747,0.8052561144714303,0.137142451028144
0.65,3.2,6.049839760029096,0.8161805503784164,0.13796161039572427
0.65,3.15,6.0515305738210605,0.8014937475639683,0.13704365534898422
0.7,3.15,6.049124404630429,0.8124226488819304,0.13786418027933806
0.75,3.15,6.046723399518522,0.8233510601038133,0.1386912921581675
0.75,3.1,6.048374754882225,0.8088264478993402,0.13777986825588687
0.8,3.1,6.045987689852999,0.8197191597651788,0.13860542557127187
0.8,3.05,6.0476392660993765,0.8052137583512384,0.13769523888022292
0.85,3.05,6.045266826021995,0.8160673784070112,0.13851889068914797
0.85,3.0,6.046919241027044,0.8015796840575565,0.1376099037583246
0.9,3.0,6.044533443280116,0.8124973809415061,0.13843950431140306
0.95,3.0,6.042108860439062,0.823575920031995,0.13928842654566442
0.95,2.95,6.043797114546458,0.8089725562529642,0.1383645365586251
1.0,2.95,6.041370852747297,0.8200732996944704,0.13921640037663258
1.0,2.9,6.043062860960244,0.8054763038214331,0.13829270621898226
1.05,2.9,6.040631923155765,0.8166101291351638,0.13914837525514517
1.05,2.85,6.042316058109957,0.8020625606252615,0.1382281415500229
1.1,2.85,6.039877962393156,0.8132359402253269,0.1390884866113935
1.15,2.85,6.037445710192635,0.8244079573147588,0.13995596453554482
1.15,2.8,6.039116015620653,0.8099284953887312,0.13903443030570117
1.2,2.8,6.036673142229115,0.8211556314963291,0.1399076673451342
1.2,2.75,6.0383465237864895,0.8066852853876676,0.13898640523406144
1.25,2.75,6.035898986102176,0.8179449731829629,0.13986366744263445
1.25,2.7,6.037576753377948,0.8034794633605379,0.13894227048083507
1.3,2.7,6.035135664724606,0.8147307369713235,0.13982044771902666
1.3,2.65,6.036809942808983,0.8002988590085583,0.13890112714266498
1.35,2.65,6.034364394445392,0.8115825956433145,0.1397834062957923
1.4,2.65,6.03192364873013,0.8228614775751658,0.1406740505033499
1.4,2.6,6.033593544802855,0.80846897155419,0.13975025474149072
1.45,2.6,6.031151350211432,0.8197688340386571,0.14064424019145227
1.45,2.55,6.032820153495664,0.8054019450032232,0.13972177740937178
1.5,2.55,6.03037246015407,0.8167371212983103,0.1406202976154435
1.5,2.5,6.032047755395567,0.8023595400568715,0.13969698306277029
1.55,2.5,6.029597163545401,0.8137286338288718,0.14059934502753263
1.6,2.5,6.027338837577036,0.8244051906820807,0.14145500666335922
1.6,2.45,6.0288165415930735,0.8107774730761509,0.1405841103660145
1.65,2.45,6.026574327421444,0.8214093713024649,0.14143810273093585
1.65,2.4,6.028039619612482,0.8078478117475695,0.14057168149727664
1.7,2.4,6.025804040390523,0.8184731195319944,0.14142705914104015
1.7,2.35,6.02748356313125,0.804140990496193,0.14049902681885645
1.75,2.35,6.025028210183546,0.8155961230975162,0.14142200451166553
1.75,2.3,6.02671167716413,0.8012711710548278,0.1404936938566622
1.8,2.3,6.024254888409792,0.812744479013743,0.14142027934313744
1.85,2.3,6.02181147406369,0.8241900719799997,0.14235346933612744
1.85,2.25,6.023488429100574,0.8098997731345691,0.14142027130124202
1.9,2.25,6.021038856502235,0.8213852294820895,0.1423588915983654
1.9,2.2,6.022605798279401,0.8075275301134245,0.14145942179032028
1.95,2.2,6.020259211066891,0.8186472456712929,0.14237100250317752
1.95,2.15,6.021830682590883,0.8047954357311888,0.14147098228553817
2.0,2.15,6.0194769935955,0.8159543328458092,0.1423880196250498
2.0,2.1,6.021047050429814,0.8021281118555409,0.14148907735521685
2.05,2.1,6.018685274903575,0.8133377415639838,0.14241250637789768
2.05,2.05,6.020363832995598,0.7991289734140709,0.14148172289099467
2.1,2.05,6.017892469704101,0.8107611023487057,0.142441595750936
2.15,2.05,6.015407475818009,0.8224599644519338,0.14341665142656082
2.15,2.0,6.017088480562713,0.8082630480841966,0.14247851377129467
2.2,2.0,6.014599481441372,0.8199935245189608,0.14345886045888714
2.2,1.95,6.016285317342909,0.8057994313627578,0.142519650327386
