U_Ga-4p,U_As-4p,Eg(eV)
-9.2,7.66,1.520603520268351
-9.2,7.65,1.5172216156678124
-9.19,7.65,1.5181069719183529
-9.18,7.65,1.5189923281741733
-9.17,7.65,1.5198776844273536
-9.16,7.65,1.5207590558478734
-9.16,7.64,1.5173864810889008
-9.15,7.64,1.5182724944798838
-9.14,7.64,1.519158507870867
-9.13,7.64,1.5200556863541537
-9.12,7.64,1.5209467616409151
-9.12,7.63,1.5175699842415504
-9.11,7.63,1.5184610595317338
-9.1,7.63,1.5193521348218981
-9.09,7.63,1.5202432101120624
-9.09,7.62,1.5168676655663127
-9.08,7.62,1.517765426863661
-9.07,7.62,1.5186631881622656
-9.06,7.62,1.5195609494608915
-9.05,7.62,1.5204587107585863
-9.05,7.61,1.5170707122833162
-9.04,7.61,1.5179731456049539
-9.03,7.61,1.5188755789269204
-9.02,7.61,1.5197780122482403
-9.01,7.61,1.520677182971924
-9.01,7.6,1.517295027772274
-9.0,7.6,1.5181979223331297
-8.99,7.6,1.5191008168948876
-8.98,7.6,1.5200037114575546
-8.97,7.6,1.520906606020044
-8.97,7.59,1.517528304205619
-8.96,7.59,1.5184317067021678
-8.95,7.59,1.519335109192237
-8.94,7.59,1.5202385116862351
-8.94,7.58,1.5168650658380893
-8.93,7.58,1.5177724757744742
-8.92,7.58,1.518679885710859
-8.91,7.58,1.5195872956392242
-8.9,7.58,1.5204947055596907
-8.9,7.57,1.517116085591123
-8.89,7.57,1.5180251964089113
-8.88,7.57,1.518938787187972
-8.87,7.57,1.5198523779670328
-8.86,7.57,1.5207659687453239
-8.86,7.56,1.5173791077794463
-8.85,7.56,1.518292698557969
-8.84,7.56,1.519208087886053
-8.83,7.56,1.5201255791230355
-8.82,7.56,1.5210430703619258
-8.82,7.55,1.5176577191304579
-8.81,7.55,1.5185755895491626
-8.8,7.55,1.5194934599678676
-8.79,7.55,1.520411330386822
-8.79,7.54,1.5170286246121814
-8.78,7.54,1.517946495031841
-8.77,7.54,1.5188643654515008
-8.76,7.54,1.5197854667770976
-8.75,7.54,1.5207037737220384
-8.75,7.53,1.517327850677087
-8.74,7.53,1.5182461576188326
-8.73,7.53,1.5191705374777087
-8.72,7.53,1.5200928327284435
-8.71,7.53,1.5210151279757715
-8.71,7.52,1.517636032474479
-8.7,7.52,1.5185583277382781
-8.69,7.52,1.5194825349719467
-8.68,7.52,1.520410783829116
-8.68,7.51,1.517023748714622
-8.67,7.51,1.51795199759889
-8.66,7.51,1.5188785841794012
-8.65,7.51,1.5198084192920558
-8.64,7.51,1.5207382544044665
-8.64,7.5,1.5173545770835561
-8.63,7.5,1.518284412191565
-8.62,7.5,1.5192142472978512
-8.61,7.5,1.520147144067956
-8.6,7.5,1.5210790976674984
-8.6,7.49,1.5176975365544307
-8.59,7.49,1.5186294901448079
-8.58,7.49,1.519561443738323
-8.57,7.49,1.5204933973304826
-8.57,7.48,1.5171210209912476
-8.56,7.48,1.5180549536785044
-8.55,7.48,1.5189888863192984
-8.54,7.48,1.5199228189904515
-8.53,7.48,1.5208726754096333
-8.53,7.47,1.5174856744998935
-8.52,7.47,1.5184259018615947
-8.51,7.47,1.5193661292291805
-8.5,7.47,1.5203063565959996
-8.5,7.46,1.5169174593305403
-8.49,7.46,1.5178616237350662
-8.48,7.46,1.5188057881245725
-8.47,7.46,1.5197499525355742
-8.46,7.46,1.5206911622396013
-8.46,7.45,1.5173082578046884
-8.45,7.45,1.5182528573966183
-8.44,7.45,1.5191974569852846
-8.43,7.45,1.520142056585898
-8.42,7.45,1.5210866561806755
-8.42,7.44,1.5177068548845263
-8.41,7.44,1.5186519022208946
-8.4,7.44,1.5195969495859643
-8.39,7.44,1.5205419969278902
-8.39,7.43,1.5171678855365158
-8.38,7.43,1.5181169744195355
-8.37,7.43,1.5190660633025554
-8.36,7.43,1.5200151521695313
-8.35,7.43,1.5209642410443904
-8.35,7.42,1.5175846483980675
-8.34,7.42,1.5185355311740762
-8.33,7.42,1.5194904931529607
-8.32,7.42,1.520445455135842
-8.32,7.41,1.517058030720042
-8.31,7.41,1.5180106591872895
-8.3,7.41,1.5189673216019548
-8.29,7.41,1.5199239840166165
-8.28,7.41,1.5208806464312823
-8.28,7.4,1.5174963216825568
-8.27,7.4,1.5184529840972223
-8.26,7.4,1.5194121356096262
-8.25,7.4,1.5203707422759427
-8.25,7.39,1.5169883595348015
-8.24,7.39,1.5179469662299163
-8.23,7.39,1.5189055729242749
-8.22,7.39,1.51986417961979
-8.21,7.39,1.5208310602724482
-8.21,7.38,1.5174512554884299
-8.2,7.38,1.5184117780329247
-8.19,7.38,1.5193723005723292
-8.18,7.38,1.5203481166835753
-8.18,7.37,1.5169603329507713
-8.17,7.37,1.5179268412096856
-8.16,7.37,1.5188933494620458
-8.15,7.37,1.5198598577138513
-8.14,7.37,1.5208327918184852
-8.14,7.36,1.517441575884769
-8.13,7.36,1.518412181008063
-8.12,7.36,1.5193827861313571
-8.11,7.36,1.5203504855063026
-8.11,7.35,1.5169668738919257
-8.1,7.35,1.5179379223858906
-8.09,7.35,1.5189089708739667
-8.08,7.35,1.5198800193613033
-8.07,7.35,1.5208510678486402
-8.07,7.34,1.5174712797403558
-8.06,7.34,1.518442863271003
-8.05,7.34,1.5194144468094892
-8.04,7.34,1.5203860303499082
-8.04,7.33,1.5170119807542344
-8.03,7.33,1.5179880045523437
-8.02,7.33,1.5189640283504526
-8.01,7.33,1.519940052192617
-8.0,7.33,1.5209160760158023
-8.0,7.32,1.5175363659863472
-7.99,7.32,1.5185140601259124
-7.98,7.32,1.5194963800884111
-7.97,7.32,1.5204787000509101
-7.97,7.31,1.5170905956285639
-7.96,7.31,1.5180693492551809
-7.95,7.31,1.5190536015281366
-7.94,7.31,1.5200378538046766
-7.93,7.31,1.5210221060740483
-7.93,7.3,1.5176366875106306
-7.92,7.3,1.5186209397835864
-7.91,7.3,1.5196084459961732
-7.9,7.3,1.520594722954229
-7.9,7.29,1.5172113267044436
-7.89,7.29,1.518197603662847
-7.88,7.29,1.5191838806222044
-7.87,7.29,1.5201701575829123
-7.86,7.29,1.5211654317653571
-7.86,7.28,1.5177845145009128
-7.85,7.28,1.5187728110798697
-7.84,7.28,1.5197611076651838
-7.83,7.28,1.520766098464779
-7.83,7.27,1.5173766958350359
-7.82,7.27,1.5183713561450862
-7.81,7.27,1.5193660164675165
-7.8,7.27,1.5203606767879614
-7.8,7.26,1.5169698214041523
-7.79,7.26,1.5179689765278055
-7.78,7.26,1.5189681316668695
-7.77,7.26,1.5199672867853629
-7.76,7.26,1.5209629504111721
-7.76,7.25,1.5175772660059013
-7.75,7.25,1.5185769054509193
-7.74,7.25,1.5195765448980554
-7.73,7.25,1.5205761843388106
-7.73,7.24,1.5171904999423766
-7.72,7.24,1.5181901393864505
-7.71,7.24,1.519194615531471
-7.7,7.24,1.5201948103666312
-7.7,7.23,1.5168162818474862
-7.69,7.23,1.517816476682646
-7.68,7.23,1.518823508930545
-7.67,7.23,1.5198282766618612
-7.66,7.23,1.5208330444107856
-7.66,7.22,1.517450848887826
-7.65,7.22,1.5184556166231058
-7.64,7.22,1.5194621978839287
-7.63,7.22,1.5204738222390044
-7.63,7.21,1.5170824851783844
-7.62,7.21,1.5180941095273832
-7.61,7.21,1.5191056113905856
-7.6,7.21,1.5201190264088504
-7.59,7.21,1.5211324414197929
-7.59,7.2,1.5177465653623572
-7.58,7.2,1.5187599803775569
-7.57,7.2,1.51977339540393
-7.56,7.2,1.5207901780327913
-7.56,7.19,1.5174067225638597
-7.55,7.19,1.5184225613246816
-7.54,7.19,1.5194384000793315
-7.53,7.19,1.5204542388471705
-7.53,7.18,1.5170707833550159
-7.52,7.18,1.5180938349819297
-7.51,7.18,1.5191113467211177
-7.5,7.18,1.5201288584846155
-7.49,7.18,1.5211463702481132
-7.49,7.17,1.5177695763011168
-7.48,7.17,1.5187933445572928
-7.47,7.17,1.5198171127721394
-7.46,7.17,1.5208408810171283
-7.46,7.16,1.517451253896492
-7.45,7.16,1.5184768081845155
-7.44,7.16,1.5195023624633006
-7.43,7.16,1.5205279167755972
-7.43,7.15,1.5171440481441656
-7.42,7.15,1.5181696024345093
-7.41,7.15,1.5191980067725581
-7.4,7.15,1.5202254441213867
-7.4,7.14,1.5168434560671842
-7.39,7.14,1.5178708934128762
-7.38,7.14,1.5188983307674409
-7.37,7.14,1.519925768118989
-7.36,7.14,1.520961597612111
-7.36,7.13,1.5175822749614687
-7.35,7.13,1.5186116714360378
-7.34,7.13,1.519641067921636
-7.33,7.13,1.5206883715709418
-7.33,7.12,1.5173003165149188
-7.32,7.12,1.5183362583904227
-7.31,7.12,1.5193722002946966
-7.3,7.12,1.5204081421934896
-7.3,7.11,1.5170044002250682
-7.29,7.11,1.5180363664781948
-7.28,7.11,1.5190683327247165
-7.27,7.11,1.5201002989820211
-7.26,7.11,1.5211369743647558
-7.26,7.1,1.517771842448019
-7.25,7.1,1.5188038061195017
-7.24,7.1,1.5198357697909848
-7.23,7.1,1.5208677334695277
-7.23,7.09,1.517502601545341
-7.22,7.09,1.518534565220551
-7.21,7.09,1.5195454159976154
-7.2,7.09,1.5205761089935497
-7.2,7.08,1.5172135655326333
-7.19,7.08,1.5182442585285676
-7.18,7.08,1.519290137199751
-7.17,7.08,1.5203204875070981
-7.17,7.07,1.5169619160415617
-7.16,7.07,1.5179922662183676
-7.15,7.07,1.5190226165248901
-7.14,7.07,1.5200768332976162
-7.13,7.07,1.521114710299118
-7.13,7.06,1.5177459593498734
-7.12,7.06,1.518783836750565
-7.11,7.06,1.519799684008999
-7.1,7.06,1.5208404735042484
-7.1,7.05,1.517460290377908
-7.09,7.05,1.5185010799337912
-7.08,7.05,1.5195418693732812
-7.07,7.05,1.520582658818905
-7.07,7.04,1.517200540464299
-7.06,7.04,1.5182451836103839
-7.05,7.04,1.5192898267564683
-7.04,7.04,1.5203344699169647
-7.04,7.03,1.516958135010647
-7.03,7.03,1.5180027781762448
-7.02,7.03,1.5191250031109769
-7.01,7.03,1.52018465007268
-7.01,7.02,1.516791323147626
-7.0,7.02,1.5178509684549488
-6.99,7.02,1.5188680508579693
-6.98,7.02,1.519939705034618
-6.97,7.02,1.5210113592112666
-6.97,7.01,1.5176023285398537
-6.96,7.01,1.5187038634816767
-6.95,7.01,1.5197763248871023
-6.94,7.01,1.520848786446566
-6.94,7.0,1.517470159520879
-6.93,7.0,1.5185426208665511
-6.92,7.0,1.51961508221222
-6.91,7.0,1.5206541304581487
-6.91,6.99,1.5172748042145483
-6.9,6.99,1.5183465644224903
-6.89,6.99,1.5194183245894433
-6.88,6.99,1.5204900846038163
-6.88,6.98,1.5171107589603376
-6.87,6.98,1.5181649587622303
-6.86,6.98,1.5192337889442147
-6.85,6.98,1.5203026178256822
-6.85,6.97,1.516937819163827
-6.84,6.97,1.518028613619871
-6.83,6.97,1.5190961638211107
-6.82,6.97,1.5201637140223503
-6.82,6.96,1.5168004702611797
-6.81,6.96,1.5178870731886094
-6.8,6.96,1.5189486532168444
-6.79,6.96,1.52001023324508
-6.78,6.96,1.5210718133318841
-6.78,6.95,1.517707640920738
-6.77,6.95,1.5187692209820853
-6.76,6.95,1.519829907096886
-6.75,6.95,1.5208979098358215
-6.75,6.94,1.5175401511938258
-6.74,6.94,1.5186081539275733
-6.73,6.94,1.5196761566288663
-6.72,6.94,1.5207441593407507
-6.72,6.93,1.5174207513407203
-6.71,6.93,1.5184954043652907
-6.7,6.93,1.5195700573722597
-6.69,6.93,1.5206447103792282
-6.69,6.92,1.5172633986518593
-6.68,6.92,1.518357844992195
-6.67,6.92,1.5194522913506234
-6.66,6.92,1.520546737672823
-6.66,6.91,1.5171526687967325
-6.65,6.91,1.5182491397062607
-6.64,6.91,1.5193456105833127
-6.63,6.91,1.5204420815786601
-6.63,6.9,1.5170545410653595
-6.62,6.9,1.518151011991296
-6.61,6.9,1.5192506147667362
-6.6,6.9,1.520349360912793
-6.6,6.89,1.5169640921097598
-6.59,6.89,1.5180628382500565
-6.58,6.89,1.5191615843950248
-6.57,6.89,1.520260330537503
-6.57,6.88,1.5168844494868203
-6.56,6.88,1.5179852515033923
-6.55,6.88,1.519086053515796
-6.54,6.88,1.5201868555306506
-6.54,6.87,1.5168062966551468
-6.53,6.87,1.5179136232624426
-6.52,6.87,1.5190209498279617
-6.51,6.87,1.520128276376431
-6.5,6.87,1.5212317123524195
-6.5,6.86,1.5178453674595116
-6.49,6.86,1.5189544659735335
-6.48,6.86,1.5200635644813025
-6.47,6.86,1.5211726629931905
-6.47,6.85,1.5177872341537113
-6.46,6.85,1.518898557971122
-6.45,6.85,1.5200098818240042
-6.44,6.85,1.5211212056381314
-6.44,6.84,1.5177370824310288
-6.43,6.84,1.5188484062760383
-6.42,6.84,1.519959730102461
-6.41,6.84,1.5210791651950766
-6.41,6.83,1.517698723749212
-6.4,6.83,1.5188121752718255
-6.39,6.83,1.5199256267171863
-6.38,6.83,1.5210584232158029
-6.38,6.82,1.5176685469664268
-6.37,6.82,1.5187890698733824
-6.36,6.82,1.5199095927756083
-6.35,6.82,1.5210255776654793
-6.35,6.81,1.5176396607103309
-6.34,6.81,1.518762217816417
-6.33,6.81,1.5198847749203623
-6.32,6.81,1.5210073320256758
-6.32,6.8,1.5176225657408775
-6.31,6.8,1.5187475923645994
-6.3,6.8,1.5198726189410499
-6.29,6.8,1.520997645575723
-6.29,6.79,1.5176141940727543
-6.28,6.79,1.5187392206781611
-6.27,6.79,1.5198642472814483
-6.26,6.79,1.5210004285021816
-6.26,6.78,1.5176203691091463
-6.25,6.78,1.5187479793971972
-6.24,6.78,1.5198755896966514
-6.23,6.78,1.521043897314562
-6.23,6.77,1.517646848118963
-6.22,6.77,1.518787160065996
-6.21,6.77,1.5199274719270428
-6.2,6.77,1.521058734689508
-6.2,6.76,1.5176618416591836
-6.19,6.76,1.5188059805101612
-6.18,6.76,1.5199501193157858
-6.17,6.76,1.5210942582411948
-6.17,6.75,1.5177026684790422
-6.16,6.75,1.518850796085819
-6.15,6.75,1.51999892366285
-6.14,6.75,1.5211470512547538
-6.14,6.74,1.517754139085723
-6.13,6.74,1.5189022667016192
-6.12,6.74,1.5200503943039694
-6.11,6.74,1.5212098657123636
-6.11,6.73,1.5178186391745938
-6.1,6.73,1.518969032268744
-6.09,6.73,1.520119425362913
-6.08,6.73,1.5212766927139572
-6.08,6.72,1.5178763258623147
-6.07,6.72,1.5190336344195279
-6.06,6.72,1.52019094299787
-6.06,6.71,1.5167912781335646
-6.05,6.71,1.5179504327153888
-6.04,6.71,1.5191095872995284
-6.03,6.71,1.520268741890638
-6.03,6.7,1.5168748606410931
-6.02,6.7,1.518034015223936
