GaAs,GaSb,InSb,InAs,Eg_GaAs,Eg_GaAs3Sb1,Eg_GaAs2Sb2,Eg_GaAs1Sb3,Eg_GaSb,Eg_In1Ga3Sb,Eg_In2Ga2Sb,Eg_In3Ga1Sb,Eg_InSb,Eg_InAs1Sb3,Eg_InAs2Sb2,Eg_InAs3Sb1,Eg_InAs,Eg_In3Ga1As,Eg_In2Ga2As,Eg_In1Ga3As,meff_GaAs,meff_GaSb,meff_InSb,meff_InAs,loss
642,1235,454,0,1.517940047003461,0.7890039711645472,0.47536798489331794,0.5509303833236731,0.8141812194107652,0.2981595060127927,0.2109851242420821,0.24369967815896587,0.23333455157985997,0.13281318191138852,0.07810702788102582,0.2226206344324331,0.4176501571014782,0.5624861787593574,0.7017059246212103,0.9989311648522012,0.1500591534384168,0.14440575270768657,0.09080909970340205,0.09410003409211609,1.0785316354863588
1017,310,1256,1345,1.5204260886215577,0.9205704559828751,0.8319690682444452,0.8342256926301901,0.812865402440083,0.47295854755880457,0.2992472286968769,0.25561326227796993,0.2348839983902643,5.689222898563884e-10,0.0050406162884317025,1.6881434694915322e-09,0.41621816858309396,0.6489257881689693,0.7656911586205873,1.0790173587033371,0.16082011311840924,0.131422024400576,0.10324750768286821,0.1211146117908188,1.7742646177205181
643,1236,455,1,1.519710121822197,0.7884381942191913,0.4740590017770571,0.5492140785347437,0.8113813876071078,0.2970673296014802,0.21036608749867342,0.24404320515878875,0.2350287511558184,0.1338634278977228,0.07894214676226999,0.22337590872733792,0.4183889054416315,0.5634463814828093,0.7031137308497059,1.0002467929243906,0.15016132747644514,0.1442181445159912,0.09088905309891908,0.09413176107908194,1.077000842186764
1402,1712,913,0,1.5192828692854023,0.18620134368299399,0.0483838235571672,0.2244260532573779,0.8109343320269742,0.2935696634685314,0.1748182186755308,0.24599910928619223,0.23332112310196623,0.0014824369694941442,0.007114090476161378,0.10575117378410766,0.4176501571014782,0.477416602478641,0.542125295698484,0.8701222079807867,0.1791843415094995,0.1597435521706158,0.09627202878248721,0.09410003409211609,2.262847938116755
297,1400,446,626,1.51971166563276,0.7726631146194762,0.3541511752479917,0.454463113355663,0.813051118200229,0.2587223081877029,0.17470837189063593,0.22550510965732226,0.23631028430017473,0.18790269344366445,0.1541849260223745,0.22896529849281103,0.4174090734439485,0.619091922116046,0.7849840125216745,1.0813219604756348,0.14408794392871163,0.14875009124139207,0.09086259273250165,0.10121245087990911,1.1451911431917303
135,1181,1133,143,1.5171468532077406,0.8555678265901666,0.44847116028434614,0.5296079942207255,0.8109844895904047,0.4107402504020223,0.28709388173749717,0.3006546833244293,0.2343427833202431,7.329831306246426e-10,0.007465925568210235,0.05164361900043858,0.41744514172948427,0.6024239572395236,0.7727778830628929,1.0644405581238676,0.14198882956221837,0.14290313687961173,0.10038525981370473,0.0952646501712603,1.7458272781759465
854,1195,4,509,1.5189270069396488,0.737533446769367,0.48549569921998276,0.5683336287653965,0.8127998477487921,0.22164519891204384,0.1580992039153823,0.20175426585712028,0.234859257681617,0.2266394235774051,0.21695906531133607,0.27339147401110153,0.41809921763025876,0.5900969927662999,0.7235496349192463,1.0265680941189255,0.15545461405982294,0.14335658873846663,0.08791506637822007,0.09943941101743559,1.2599740079313784
365,1712,0,115,1.517432768002219,0.6320944472848263,0.17687678838567655,0.3101361886678099,0.8109343320269742,0.0748534349066509,0.0032267839242691274,0.11191434737843851,0.23527218694419716,0.21594790562102617,0.20398662676652143,0.2892811891010724,0.4154850914813363,0.5886751359124682,0.7479082553279148,1.0416985490207398,0.14498641347573704,0.1597435521706158,0.08791194912302318,0.09495366661629588,1.8813465129394715
690,915,562,493,1.5210640806607094,0.8874591237429968,0.6405224260039099,0.6822053331774828,0.8109130652558181,0.3784547956604404,0.27482844943675283,0.2792744910908223,0.23816595649733566,0.16346946510779536,0.11958838271581489,0.21950910616483177,0.41857199100592457,0.5998167430306808,0.7450197985616928,1.042953040670029,0.1512834784449272,0.13782502068895391,0.09200285392923237,0.09923206934080701,0.6545277687101425
1022,439,432,212,1.5198190242940852,0.892802511307888,0.7963259577550162,0.8134779523708227,0.8134111681858409,0.43721360252413005,0.3126374410706405,0.28768656333866804,0.2358916266066671,0.16156779143032096,0.11763280467177624,0.23767971215843664,0.417083034507288,0.547673609958345,0.6600318409365619,0.9692163483490415,0.16096964091547156,0.1324012994828157,0.09072556990384735,0.0958949350619525,0.5766552813909135
422,137,171,538,1.5180330561169184,1.1134690799414158,0.9136939565918177,0.8611289515503557,0.810173672186698,0.4502572211944927,0.3200095667390542,0.2841634345890028,0.2334181133929939,0.21357954517581612,0.19610266370170268,0.258596646871363,0.414740547713761,0.609205520149923,0.7707185273866475,1.0665402260211398,0.1459058349219335,0.13027941674927215,0.08875819590257698,0.09973557687391986,0.6239376315562455
1321,0,0,813,1.5183670641279035,0.816500187010486,0.8095978106405722,0.8292298863589793,0.8134110754414716,0.4560193571998372,0.3254853643688973,0.28555002969315674,0.23527218694419716,0.2210603845163334,0.20468926269880355,0.23481876990092668,0.4184742810132988,0.5921526509561923,0.6867490236357139,1.0086402318111638,0.1743783969158449,0.12989048762491634,0.08791194912302318,0.10477045162567335,0.7121863797248016
0,396,0,1362,1.518851572612944,1.0974360829725944,0.7995197445289591,0.7820130492916413,0.8136195397544861,0.40310857091193675,0.2946433257902231,0.2742398754715777,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.1320764594771643,0.08791194912302318,0.12177640336686471,0.8679617017673819
1538,0,1093,0,1.5190364994465948,0.6960141006891845,0.7366148623969225,0.7998584428783599,0.8134110754414716,0.47931187144697673,0.2985696592746525,0.24066628789514014,0.23685859358502895,5.948219425233603e-10,0.007231819928652378,0.0470476851468613,0.4176501571014782,0.45766384146193934,0.5046126606787301,0.8432570049137652,0.18852930260343473,0.12989048762491634,0.09967661728552293,0.09410003409211609,1.7784375831431256
969,591,0,1362,1.5204722347934203,0.8824422836307166,0.7533808016140251,0.7800359665277931,0.8140111889069794,0.3653999187640123,0.26959326848643006,0.2620166708360326,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.6478110389401069,0.7684023615257273,1.0810034516756089,0.15914038902963878,0.1338575314377781,0.08791194912302318,0.12177640336686471,0.9411034338643822
0,0,721,0,1.518851572612944,1.1700530339863866,0.922707524346043,0.8634236369500944,0.8134110754414716,0.4832745858884949,0.32266685472285683,0.26992170405370147,0.23491498468200944,0.06765968033091514,0.007796504784767735,0.1616559026339958,0.4176501571014782,0.6017376749620839,0.776304301636061,1.0678351366177012,0.1406861269011718,0.12989048762491634,0.09364114929692915,0.09410003409211609,1.231209484405743
941,0,0,0,1.519267030928177,0.9901674843811374,0.8977995039207961,0.8657087085168718,0.8134110754414716,0.4560193571998372,0.3254853643688973,0.28555002969315674,0.23527218694419716,0.2098861024791403,0.19614324856511717,0.2898626045027569,0.4176501571014782,0.5339192751554613,0.6482685262873848,0.9531749240104911,0.15815293520794546,0.12989048762491634,0.08791194912302318,0.09410003409211609,0.691056644004028
0,1712,1500,1362,1.518851572612944,0.6159955141790359,0.10186355244122301,0.27167732581472886,0.8109343320269742,0.41658201070546336,0.26397808688694896,0.3328477650155601,0.23363727003563858,1.2332243632395823e-09,0.004962618248249166,8.235231563569202e-10,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.1597435521706158,0.11034391921068991,0.12177640336686471,2.1263472712211375
1538,1712,0,1362,1.5190364994465948,0.09533861983869012,0.003330145565632925,0.19352616137580392,0.8109343320269742,0.0748534349066509,0.0032267839242691274,0.11191434737843851,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.6556980238686735,0.7126622371571687,1.0582628369463367,0.18852930260343473,0.1597435521706158,0.08791194912302318,0.12177640336686471,2.252493919379525
0,0,932,1362,1.518851572612944,1.1700530339863866,0.922707524346043,0.8634236369500944,0.8134110754414716,0.48160311566668906,0.3094803088044618,0.2526303733741608,0.23266650191949412,0.09797076104082553,0.006324109423784481,9.025846179566699e-10,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.12989048762491634,0.09654811978263372,0.12177640336686471,1.5058132200280452
1538,569,0,0,1.5190364994465948,0.5714800826514743,0.6235019484090057,0.7453409658015764,0.810645868323654,0.3708034005652359,0.2736809545025672,0.2639501768976915,0.23527218694419716,0.2098861024791403,0.19614324856511717,0.2898626045027569,0.4176501571014782,0.45766384146193934,0.5046126606787301,0.8432570049137652,0.18852930260343473,0.13338892916065365,0.08791194912302318,0.09410003409211609,1.0278534197808427
0,1712,0,1362,1.518851572612944,0.6159955141790359,0.10186355244122301,0.27167732581472886,0.8109343320269742,0.0748534349066509,0.0032267839242691274,0.11191434737843851,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.1597435521706158,0.08791194912302318,0.12177640336686471,2.0060816485519206
633,0,0,1362,1.5172578244035686,1.0860249051517474,0.9344036932168538,0.8794787087087802,0.8134110754414716,0.4560193571998372,0.3254853643688973,0.28555002969315674,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.6343924120941506,0.7779081645243915,1.0853310276471442,0.14983217258592885,0.12989048762491634,0.08791194912302318,0.12177640336686471,0.851581308487797
0,400,0,0,1.518851572612944,1.0957974900049567,0.7966489200683814,0.7791205204278646,0.811079022552802,0.40097625992689795,0.2931111142080198,0.2734366954604188,0.23527218694419716,0.2098861024791403,0.19614324856511717,0.2898626045027569,0.4176501571014782,0.6017376749620839,0.776304301636061,1.0678351366177012,0.1406861269011718,0.131950543685927,0.08791194912302318,0.09410003409211609,0.6609810280719166
1538,1712,1500,1362,1.5190364994465948,0.09533861983869012,0.003330145565632925,0.19352616137580392,0.8109343320269742,0.41658201070546336,0.26397808688694896,0.3328477650155601,0.23363727003563858,1.2332243632395823e-09,0.004962618248249166,8.235231563569202e-10,0.41476308426944525,0.6556980238686735,0.7126622371571687,1.0582628369463367,0.18852930260343473,0.1597435521706158,0.11034391921068991,0.12177640336686471,2.360236851253391
1538,0,378,1362,1.5190364994465948,0.6960141006891845,0.7366148623969225,0.7998584428783599,0.8134110754414716,0.47508729516365855,0.3312835441051561,0.2838406019261313,0.233718679516078,0.17640392679701883,0.10596110277584386,0.07160042940851827,0.41476308426944525,0.6556980238686735,0.7126622371571687,1.0582628369463367,0.18852930260343473,0.12989048762491634,0.09019529450468666,0.12177640336686471,0.949423987140069
0,712,0,631,1.518851572612944,1.0123179796248867,0.664836009868074,0.6863984727748671,0.8115727317602835,0.34121186696486266,0.25281834267280723,0.25345936197622243,0.23527218694419716,0.22640146599573588,0.21478797055809015,0.2606200731880082,0.41881706251888784,0.6171197270585528,0.796235015013272,1.0915773922939755,0.1406861269011718,0.1350239860867758,0.08791194912302318,0.10134919783496518,0.8651814262569851
0,0,0,602,1.518851572612944,1.1700530339863866,0.922707524346043,0.8634236369500944,0.8134110754414716,0.4560193571998372,0.3254853643688973,0.28555002969315674,0.23527218694419716,0.22627567479733257,0.2149633221069455,0.26240466616240515,0.4162049793561503,0.6129991014371026,0.7949615713327093,1.0903998084678501,0.1406861269011718,0.12989048762491634,0.08791194912302318,0.1007751853869708,0.7234926814786621
1538,586,424,774,1.5190364994465948,0.5663335794464591,0.6168284167846361,0.7405534174469998,0.8153313327591929,0.41425988226537236,0.2988620603574401,0.28273807543624085,0.23441338616500693,0.19404912344788994,0.1602623210245375,0.21583425687458238,0.41827845051243184,0.5707348210119031,0.6403080393386147,0.9783092682308483,0.18852930260343473,0.13389704774303365,0.09059734933781041,0.10395545492442389,0.7881293976611333
887,446,0,496,1.5190234184785483,0.9445975180328786,0.8125202378743682,0.8146350379061034,0.811561563939664,0.39337130179767676,0.2885387296459335,0.27105537569222293,0.23527218694419716,0.22696610952412094,0.21732543352220002,0.2741057269420804,0.41740807327763246,0.5855686210748337,0.7173039169904353,1.0219389835220116,0.15643801006471683,0.13234388155080912,0.08791194912302318,0.09923156546225714,0.8099507212575862
986,0,560,724,1.5171494098939309,0.9696109810603322,0.8896934766321981,0.862219524931421,0.8134110754414716,0.48102593378906416,0.32871633665709565,0.2788714300411335,0.23529958568828038,0.17394197870531372,0.12892308940420152,0.20587897792636192,0.4188771623671824,0.6019321506711829,0.7269920245482546,1.0326595363644249,0.15955136309984266,0.12989048762491634,0.09186219912741299,0.10300410653895223,0.5031248255281304
1538,0,295,333,1.5190364994465948,0.6960141006891845,0.7366148623969225,0.7998584428783599,0.8134110754414716,0.47170942762258034,0.33149487603376654,0.2857089888176041,0.2346764729525696,0.1923807307477867,0.16591685744977022,0.2579560102922405,0.41712096070229454,0.5046517871499193,0.5622285496677519,0.9039205008759942,0.18852930260343473,0.12989048762491634,0.08961625040554891,0.09716770615305417,0.6940668568424195
600,503,478,1037,1.5211465323554438,1.0222722533414135,0.8108533424797616,0.8023970793394388,0.8142023484619789,0.43313096195170075,0.30943314148365814,0.2864457490756632,0.23397151001107655,0.18699978911309786,0.1372757514799723,0.16153186932452834,0.4181352627441769,0.629043703738645,0.7808377085294889,1.0821358420562066,0.14931165158614276,0.13299657595595127,0.09104834417471953,0.11030161005123372,0.590102710522704
