U_In-5p,U_As-4p,Eg(eV)
-4.02,4.13,0.41615795781676757
-4.01,4.13,0.4169544114212477
-4.0,4.13,0.417750865027939
-3.99,4.13,0.41854731863463035
-3.99,4.12,0.41519379550105895
-3.98,4.12,0.41600454604453363
-3.97,4.12,0.41681529658803407
-3.96,4.12,0.417626047125488
-3.95,4.12,0.4184367976658603
-3.95,4.11,0.41504441210536225
-3.94,4.11,0.41587110065958044
-3.93,4.11,0.4166977892126358
-3.92,4.11,0.4175244777685123
-3.91,4.11,0.4183439852022174
-3.91,4.1,0.4149618795109532
-3.9,4.1,0.4157896280102398
-3.89,4.1,0.4166173765095269
-3.88,4.1,0.4174451250088139
-3.87,4.1,0.41827287350810094
-3.86,4.1,0.4190900210770565
-3.86,4.09,0.41572871607950346
-3.85,4.09,0.41655794014176484
-3.84,4.09,0.4173871642040262
-3.83,4.09,0.41822398055888677
-3.82,4.09,0.41906301383158007
-3.82,4.08,0.41568942971709766
-3.81,4.08,0.4165284629995646
-3.8,4.08,0.41736749627928427
-3.79,4.08,0.418206529560595
-3.78,4.08,0.419045464393482
-3.78,4.07,0.41566385291057606
-3.77,4.07,0.4165090466858885
-3.76,4.07,0.41735424046270087
-3.75,4.07,0.4181994342390769
-3.74,4.07,0.4190427426579575
-3.74,4.06,0.4156617426757373
-3.73,4.06,0.41650663317494496
-3.72,4.06,0.41735152367415274
-3.71,4.06,0.41820350140761375
-3.7,4.06,0.4190479415756012
-3.7,4.05,0.4156729191103097
-3.69,4.05,0.416517359281691
-3.68,4.05,0.4173617994501686
-3.67,4.05,0.41820623962002346
-3.66,4.05,0.4190397032481178
-3.66,4.04,0.4156753784076811
-3.65,4.04,0.41652022537037825
-3.64,4.04,0.41736507233477504
-3.63,4.04,0.418211092295784
-3.62,4.04,0.4190547657511936
-3.62,4.03,0.4156925330204664
-3.61,4.03,0.41653620647710143
-3.6,4.03,0.41737987992853753
-3.59,4.03,0.41822355338247186
-3.58,4.03,0.41908226962477835
-3.58,4.02,0.4157133912072516
-3.57,4.02,0.41656202841549994
-3.56,4.02,0.4174106656235699
-3.55,4.02,0.4182593028313335
-3.55,4.01,0.4148925752599937
-3.54,4.01,0.415745846955238
-3.53,4.01,0.41659911865048216
-3.52,4.01,0.41745239034572634
-3.51,4.01,0.4183047147629336
-3.51,4.0,0.4149401233720973
-3.5,4.0,0.4157936702832521
-3.49,4.0,0.41664721719387243
-3.48,4.0,0.4175007641039452
-3.47,4.0,0.41835431101421316
-3.47,3.99,0.4149899161118141
-3.46,3.99,0.41584381687821415
-3.45,3.99,0.416697717644984
-3.44,3.99,0.41755161841175403
-3.43,3.99,0.4184179181657318
-3.43,3.98,0.4150574305299565
-3.42,3.98,0.41591644813991624
-3.41,3.98,0.41677546574650215
-3.4,3.98,0.41763448335395026
-3.39,3.98,0.41849350096139837
-3.39,3.97,0.41513529989688513
-3.38,3.97,0.4160048984303484
-3.37,3.97,0.41687449696487033
-3.36,3.97,0.41774409550469904
-3.35,3.97,0.4186136940430567
-3.35,3.96,0.4152392883986864
-3.34,3.96,0.41611449149023916
-3.33,3.96,0.41698969457922963
-3.32,3.96,0.41786489767204116
-3.31,3.96,0.4187379407112417
-3.31,3.95,0.4153728881012828
-3.3,3.95,0.41624857878484023
-3.29,3.95,0.4171242694699493
-3.28,3.95,0.4179999601504729
-3.27,3.95,0.4188756508337238
-3.27,3.94,0.4155113510921087
-3.26,3.94,0.416387627124439
-3.25,3.94,0.41726390315585404
-3.24,3.94,0.4181401791872692
-3.23,3.94,0.4190233392301441
-3.23,3.93,0.41566372168496435
-3.22,3.93,0.4165461207397785
-3.21,3.93,0.4174285197942591
-3.2,3.93,0.41831091884882676
-3.2,3.92,0.4149513013042614
-3.19,3.92,0.4158316097578798
-3.18,3.92,0.41671783786426864
-3.17,3.92,0.41760406597065747
-3.16,3.92,0.4184902940770463
-3.16,3.91,0.41512560986266145
-3.15,3.91,0.4160118379690503
-3.14,3.91,0.41687070068887944
-3.13,3.91,0.4177474770709839
-3.12,3.91,0.4186242534530884
-3.12,3.9,0.4152968807843983
-3.11,3.9,0.41617327291040573
-3.1,3.9,0.4170496650364135
-3.09,3.9,0.41792605716242104
-3.08,3.9,0.4188024492912218
-3.08,3.89,0.41546645567695906
-3.07,3.89,0.41634284780449904
-3.06,3.89,0.41718955168819516
-3.05,3.89,0.4180640001516318
-3.04,3.89,0.4189384486223269
-3.04,3.88,0.41562768506095393
-3.03,3.88,0.41650011910303864
-3.02,3.88,0.41737255314512356
-3.01,3.88,0.41824498718007197
-3.01,3.87,0.4149159479997999
-3.0,3.87,0.41578838201579416
-2.99,3.87,0.4166972025512906
-2.98,3.87,0.4175811464712176
-2.97,3.87,0.41846509039114466
-2.97,3.86,0.41512026124245316
-2.96,3.86,0.4160042051666035
-2.95,3.86,0.416888149090754
-2.94,3.86,0.4177965238483261
-2.93,3.86,0.41869566227203514
-2.93,3.85,0.4153334593500927
-2.92,3.85,0.4162325977520609
-2.91,3.85,0.41712210968680563
-2.9,3.85,0.41802423157668167
-2.89,3.85,0.41892635346554985
-2.89,3.84,0.4155857165896738
-2.88,3.84,0.4164878384795644
-2.87,3.84,0.4173899603694551
-2.86,3.84,0.41830801308928667
-2.86,3.83,0.41497275008441914
-2.85,3.83,0.4158761140470595
-2.84,3.83,0.41677947800969994
-2.83,3.83,0.41767620132798666
-2.82,3.83,0.41859912662520216
-2.82,3.82,0.41524000517266324
-2.81,3.82,0.4161629304599429
-2.8,3.82,0.4170858557564725
-2.79,3.82,0.41800206313604604
-2.78,3.82,0.4189295138575245
-2.78,3.81,0.41556446445826034
-2.77,3.81,0.4164919151789539
-2.76,3.81,0.4174193647867115
-2.75,3.81,0.41834793494623723
-2.75,3.8,0.4149868211736992
-2.74,3.8,0.41591539132942745
-2.73,3.8,0.41684396148870095
-2.72,3.8,0.4177725316476518
-2.71,3.8,0.41870018358358063
-2.71,3.79,0.41534028018713587
-2.7,3.79,0.4162700633895495
-2.69,3.79,0.41719984659574516
-2.68,3.79,0.4181296298016248
-2.67,3.79,0.4190594130078501
-2.67,3.78,0.4157256989794448
-2.66,3.78,0.4166610774994137
-2.65,3.78,0.41759645601830364
-2.64,3.78,0.41853183453719356
-2.64,3.77,0.41517887218918825
-2.63,3.77,0.416124906252875
-2.62,3.77,0.41707094031391234
-2.61,3.77,0.41801697438690244
-2.6,3.77,0.4189630084566899
-2.6,3.76,0.41558478094113005
-2.59,3.76,0.4165365558672711
-2.58,3.76,0.41748833079556424
-2.57,3.76,0.41844010571862666
-2.57,3.75,0.415064126202327
-2.56,3.75,0.41601730938397163
-2.55,3.75,0.41697049256561636
-2.54,3.75,0.4179236757467599
-2.53,3.75,0.4188768589288052
-2.53,3.74,0.41551565400728063
-2.52,3.74,0.416468837188805
-2.51,3.74,0.4174245792075293
-2.5,3.74,0.41837814224621805
-2.5,3.73,0.41502222540204814
-2.49,3.73,0.4159757884407367
-2.48,3.73,0.41694929775136
-2.47,3.73,0.4179139567971365
-2.46,3.73,0.4188786158328045
-2.46,3.72,0.4155145828307931
-2.45,3.72,0.41647924186936713
-2.44,3.72,0.41744455857529206
-2.43,3.72,0.4184152150306907
-2.43,3.71,0.41504319735983486
-2.42,3.71,0.41601385380591005
-2.41,3.71,0.4169827303167468
-2.4,3.71,0.4179566869468875
-2.39,3.71,0.4189306435771416
-2.39,3.7,0.4155685243949345
-2.38,3.7,0.41654248102820546
-2.37,3.7,0.41751643765812996
-2.36,3.7,0.41847982488069757
-2.36,3.69,0.41511986577982896
-2.35,3.69,0.41609596047346586
-2.34,3.69,0.4170720551684829
-2.33,3.69,0.41804814985630856
-2.32,3.69,0.4190242445474853
-2.32,3.68,0.4156369636601043
-2.31,3.68,0.41660753397857575
-2.3,3.68,0.41757810429704845
-2.29,3.68,0.41854867461552037
-2.29,3.67,0.41534355110287624
-2.28,3.67,0.4163913707528235
-2.27,3.67,0.41743919037094535
-2.26,3.67,0.4184870100130955
-2.26,3.66,0.41508213569182717
-2.25,3.66,0.4161380609748251
-2.24,3.66,0.41719398623578874
-2.23,3.66,0.41824991162516945
-2.23,3.65,0.41487351883991197
-2.22,3.65,0.4159294441612247
-2.21,3.65,0.416982744404075
-2.2,3.65,0.4180626252060041
-2.19,3.65,0.41914250606507353
-2.19,3.64,0.4157900021063724
-2.18,3.64,0.4168698829172488
-2.17,3.64,0.4179497637581352
-2.17,3.63,0.4152015537837732
-2.16,3.63,0.4164110670995619
-2.15,3.63,0.4176205804186448
-2.14,3.63,0.4188300937377276
-2.14,3.62,0.41506968226251284
-2.13,3.62,0.41628032999070896
-2.12,3.62,0.4174909775910872
-2.11,3.62,0.418701625216942
-2.11,3.61,0.4154440636363288
