U_Ga-4p,U_As-4p,Eg(eV)
-4.47,6.14,1.5191714335964948
-4.46,6.14,1.5205152815357654
-4.46,6.13,1.517121530131699
-4.45,6.13,1.518465378067773
-4.44,6.13,1.51974589356998
-4.43,6.13,1.5210782933026714
-4.43,6.12,1.517711812499552
-4.42,6.12,1.5190442121412497
-4.41,6.12,1.5203584768874698
-4.41,6.11,1.5169986629945185
-4.4,6.11,1.5183245978591995
-4.39,6.11,1.5196505320015103
-4.38,6.11,1.5210035529127217
-4.38,6.1,1.5176259917272588
-4.37,6.1,1.5189461355456415
-4.36,6.1,1.5202662794038142
-4.36,6.09,1.5168887180942372
-4.35,6.09,1.5182088619400704
-4.34,6.09,1.5195323924297361
-4.33,6.09,1.5208534212924831
-4.33,6.08,1.5174821173544977
-4.32,6.08,1.5188031462164164
-4.31,6.08,1.5201350993450118
-4.31,6.07,1.516758217877524
-4.3,6.07,1.5180860591608623
-4.29,6.07,1.5194139005796827
-4.28,6.07,1.5207354845993968
-4.28,6.06,1.5173570415940358
-4.27,6.06,1.5186886455327417
-4.26,6.06,1.5200202494727877
-4.25,6.06,1.5213518532395414
-4.25,6.05,1.517973410428834
-4.24,6.05,1.5193050143433564
-4.23,6.05,1.5206452038170142
-4.23,6.04,1.5172667568672251
-4.22,6.04,1.5186025938209835
-4.21,6.04,1.5199384307548258
-4.2,6.04,1.5212742676982365
-4.2,6.03,1.5179088466707813
-4.19,6.03,1.519248480910982
-4.18,6.03,1.52058811515668
-4.18,6.02,1.5172080071206069
-4.17,6.02,1.5185476413166037
-4.16,6.02,1.519894600534335
-4.15,6.02,1.5212404926471543
-4.15,6.01,1.5178554726182096
-4.14,6.01,1.519201364728807
-4.13,6.01,1.5205467404546122
-4.13,6.0,1.5171690900092791
-4.12,6.0,1.5185157192709893
-4.11,6.0,1.519862348538294
-4.1,6.0,1.5212089778346507
-4.1,5.99,1.5178322434776907
-4.09,5.99,1.5191795878696122
-4.08,5.99,1.520526932264665
-4.08,5.98,1.517155773117109
-4.07,5.98,1.5185031175103438
-4.06,5.98,1.519858090986449
-4.05,5.98,1.5212105177322015
-4.05,5.97,1.5178351258076241
-4.04,5.97,1.519187552529876
-4.03,5.97,1.5205368089292572
-4.03,5.96,1.517162222911122
-4.02,5.96,1.5185170181792425
-4.01,5.96,1.5198718134485203
-4.0,5.96,1.5212266087103445
-4.0,5.95,1.5178520226924643
-3.99,5.95,1.5192068179575977
-3.98,5.95,1.5205688648749398
-3.98,5.94,1.5171942764151622
-3.97,5.94,1.5185527712701514
-3.96,5.94,1.5199112660727943
-3.95,5.94,1.5212697609170613
-3.95,5.93,1.517867951498602
-3.94,5.93,1.5192191773868717
-3.93,5.93,1.5205704030176168
-3.93,5.92,1.5172030451544316
-3.92,5.92,1.5185542709965616
-3.91,5.92,1.5199205006544716
-3.9,5.92,1.5212740350169123
-3.9,5.91,1.5179030108362999
-3.89,5.91,1.5192565451559963
-3.88,5.91,1.5205924041655101
-3.88,5.9,1.5171863131154395
-3.87,5.9,1.5185394692868999
-3.86,5.9,1.5198926256262943
-3.85,5.9,1.521245781899765
-3.85,5.89,1.5178396903641986
-3.84,5.89,1.5192818206910066
-3.83,5.89,1.5206448449122227
-3.83,5.88,1.517241180650959
-3.82,5.88,1.5186042049003066
-3.81,5.88,1.5200047977708668
-3.8,5.88,1.52139431757803
-3.8,5.87,1.5179682824576766
-3.79,5.87,1.5193578015733396
-3.78,5.87,1.52074732210689
-3.78,5.86,1.5173072487198906
-3.77,5.86,1.5187187496535641
-3.76,5.86,1.5201302501172858
-3.76,5.85,1.5167172619891893
-3.75,5.85,1.5181287627210562
-3.74,5.85,1.5195216778749876
-3.73,5.85,1.5209457919580442
-3.73,5.84,1.5175329435216474
-3.72,5.84,1.5189570576228801
-3.71,5.84,1.5203811717385103
-3.71,5.83,1.5169683231378683
-3.7,5.83,1.5183555638803947
-3.69,5.83,1.5197715548992772
-3.68,5.83,1.5211875451525005
-3.68,5.82,1.5177941289715209
-3.67,5.82,1.5192101197969898
-3.66,5.82,1.5206811361900834
-3.66,5.81,1.5172755091949413
-3.65,5.81,1.518697922245418
-3.64,5.81,1.5201203352950454
-3.64,5.8,1.5166979013438953
-3.63,5.8,1.5181231163964934
-3.62,5.8,1.5195483314490916
-3.61,5.8,1.5209735464769905
-3.61,5.79,1.517570514005588
-3.6,5.79,1.5189957290371392
-3.59,5.79,1.5204441103803157
-3.59,5.78,1.5170428418701634
-3.58,5.78,1.5184707219639928
-3.57,5.78,1.519898602057822
-3.56,5.78,1.5213192173697898
-3.56,5.77,1.5179060229060584
-3.55,5.77,1.5193444772781217
-3.54,5.77,1.520782931342899
-3.54,5.76,1.5173693640689894
-3.53,5.76,1.5188131299867669
-3.52,5.76,1.520256895918159
-3.52,5.75,1.5168526920351832
-3.51,5.75,1.5182964578429292
-3.5,5.75,1.5197402237328808
-3.49,5.75,1.5211839896228323
-3.49,5.74,1.5177650555464215
-3.48,5.74,1.5191989838947866
-3.47,5.74,1.5206329122436926
-3.47,5.73,1.5172287426926114
-3.46,5.73,1.5186626710188547
-3.45,5.73,1.5200965994044568
-3.45,5.72,1.5167756011627207
-3.44,5.72,1.5182369894159693
-3.43,5.72,1.5197071474405521
-3.42,5.72,1.521172459686998
-3.42,5.71,1.5177930075983381
-3.41,5.71,1.519258320054679
-3.4,5.71,1.520723632510745
-3.4,5.7,1.5173441804876
-3.39,5.7,1.518809492968605
-3.38,5.7,1.5202273537650124
-3.38,5.69,1.516848185063048
-3.37,5.69,1.518317428006232
-3.36,5.69,1.5197866715771782
-3.35,5.69,1.521255914840237
-3.35,5.68,1.5178067227122858
-3.34,5.68,1.519258441643701
-3.33,5.68,1.5207101608323204
-3.33,5.67,1.5173562102338152
-3.32,5.67,1.5188079292285641
-3.31,5.67,1.5200258230631811
-3.31,5.66,1.5167525198931116
-3.3,5.66,1.5181296202572685
-3.29,5.66,1.5195067204847932
-3.28,5.66,1.5209944000989368
-3.28,5.65,1.5177166900705188
-3.27,5.65,1.5190762864891827
-3.26,5.65,1.5204358829514568
-3.26,5.64,1.5171581728776107
-3.25,5.64,1.5185177693266487
-3.24,5.64,1.5195047116319458
-3.23,5.64,1.5208147381206167
-3.23,5.63,1.5174288568308216
-3.22,5.63,1.5187388837736309
-3.21,5.63,1.5202947203872785
-3.21,5.62,1.516945854080248
-3.2,5.62,1.518251995211588
-3.19,5.62,1.519558135670387
-3.18,5.62,1.5208642767126133
-3.18,5.61,1.5174540741911162
-3.17,5.61,1.5187417219952672
-3.16,5.61,1.5200293647159917
-3.15,5.61,1.521317007436714
-3.15,5.6,1.5179058394977571
-3.14,5.6,1.5193893238991563
-3.13,5.6,1.520751726341648
-3.13,5.59,1.5173398282025192
-3.12,5.59,1.5187022333627858
-3.11,5.59,1.5200646395914277
-3.11,5.58,1.516652747956222
-3.1,5.58,1.519314560550844
-3.09,5.58,1.521037800697812
-3.09,5.57,1.51735510873025
-3.08,5.57,1.5186867886466036
-3.07,5.57,1.520699306370533
-3.07,5.56,1.517112082212642
-3.06,5.56,1.5191246009310913
-3.05,5.56,1.5211371221906944
-3.05,5.55,1.5175498922780453
-3.04,5.55,1.5190936490434486
-3.03,5.55,1.5211046737588372
-3.03,5.54,1.5175200312256032
-3.02,5.54,1.519531055366299
-3.01,5.54,1.5215420796977055
-3.01,5.53,1.5179574383314818
-3.0,5.53,1.5199684626954282
-2.99,5.53,1.5200354856026514
-2.99,5.52,1.51682130068961
-2.98,5.52,1.5184170849763698
-2.97,5.52,1.5200128697412083
-2.96,5.52,1.5206336947338364
-2.96,5.51,1.5178708584566132
-2.95,5.51,1.5189654719126033
-2.94,5.51,1.5200600853333859
-2.94,5.5,1.5177860730082677
-2.93,5.5,1.518736866204762
-2.92,5.5,1.519687659401256
-2.91,5.5,1.5206384515512297
-2.91,5.49,1.5175029406813005
-2.9,5.49,1.5184537343375955
-2.89,5.49,1.5192185632731583
-2.88,5.49,1.5201583764862294
-2.88,5.48,1.5171338241910652
-2.87,5.48,1.5180736412698408
-2.86,5.48,1.520258866873128
-2.86,5.47,1.5171212146653383
-2.85,5.47,1.5183313205692668
-2.84,5.47,1.5195414469289197
-2.83,5.47,1.5200068060750396
-2.82,5.47,1.5215534551125223
-2.82,5.46,1.5178505270017237
-2.81,5.46,1.519397154908746
-2.8,5.46,1.5209437867626798
-2.8,5.45,1.5172408676501343
-2.79,5.45,1.5190948686190828
-2.78,5.45,1.5209189334576498
-2.78,5.44,1.5172155208261473
-2.77,5.44,1.5190395856647148
-2.76,5.44,1.5208636505032804
-2.76,5.43,1.5171602378717786
-2.75,5.43,1.5193502068039675
-2.74,5.43,1.5212265273641286
-2.74,5.42,1.5171740843067425
-2.73,5.42,1.5190504064284172
-2.72,5.42,1.5208599080917242
-2.72,5.41,1.516927324531185
-2.71,5.41,1.5190408363380743
-2.7,5.41,1.5211543481449636
-2.7,5.4,1.5172217626060094
-2.69,5.4,1.5193352732149787
-2.68,5.4,1.521143597605109
-2.68,5.39,1.5172115170170581
-2.67,5.39,1.5192031763088147
-2.66,5.39,1.5211948364363792
