U_In-5p,U_Sb-5p,a(A),Eg(eV),meff
-5.0,4.55,6.619006870190682,0.23527323712826956,0.013801440419543707
-4.95,4.55,6.617514831157541,0.24003000448882397,0.014069858866563529
-4.9,4.55,6.616016233979752,0.24481006096422578,0.0143393568769805
-4.9,4.5,6.618005827071889,0.22847686265678568,0.013421483000561781
-4.85,4.5,6.616499743277107,0.2332790907012332,0.01369308751279438
-4.8,4.5,6.614794398617694,0.23860996050588928,0.013993855846749654
-4.75,4.5,6.613278856647217,0.2434521721199877,0.014266972568083803
-4.75,4.45,6.615271280345762,0.22712908443151683,0.013349154478389812
-4.7,4.45,6.613740867876516,0.2320124578084421,0.013625634832286015
-4.65,4.45,6.612213730653143,0.23689489641165776,0.013901595156138249
-4.6,4.45,6.6106760019666,0.2418105088290817,0.014179243060168474
-4.6,4.4,6.613010218241524,0.22461305409155538,0.013211932718569254
-4.55,4.4,6.611440985457889,0.22961434684450452,0.013495205884748172
-4.5,4.4,6.609868834073628,0.23462990718344148,0.013779077829950059
-4.45,4.4,6.608295229762744,0.239656951752384,0.01406321225204073
-4.4,4.4,6.606708800824325,0.24472489999662655,0.014349307525207359
-4.4,4.35,6.608720218249482,0.228386668067766,0.01343075856335429
-4.35,4.35,6.607125783238539,0.2334788897241017,0.01371910028554224
-4.3,4.35,6.605526520107556,0.23859075149201134,0.014008259569755316
-4.25,4.35,6.603918787675264,0.24373250454817305,0.01429878906937921
-4.25,4.3,6.605938403534745,0.2273914135557543,0.013379607713074245
-4.2,4.3,6.604319642687445,0.23256572953949473,0.013672810200974965
-4.15,4.3,6.602700885947978,0.23774695366011636,0.013966132805664206
-4.1,4.3,6.601073843161464,0.24295771808174893,0.014260792276846953
-4.1,4.25,6.603096401605004,0.22662668718764556,0.01334182146851453
-4.05,4.25,6.601457518520419,0.23187212917368163,0.013639310813726945
-4.0,4.25,6.599813345898363,0.23713912402916512,0.013937675753793156
-3.95,4.25,6.598159609692447,0.2424383909377855,0.014237558675069654
-3.95,4.2,6.600183762633231,0.226122100642719,0.013319005863383918
-3.9,4.2,6.598524230999008,0.2314399881393025,0.01362088997728398
-3.85,4.2,6.596859489508011,0.23677966158950378,0.013923595399145453
