U_Ga-4p,U_Sb-5p,Eg(eV)
-2.02,4.99,0.8135914779194349
-2.02,4.98,0.8104896967549149
-2.01,4.98,0.812344560198597
-2.0,4.98,0.8141994236560581
-2.0,4.97,0.8111385509867406
-1.99,4.97,0.8130196878302385
-1.99,4.96,0.8099762422088579
-1.98,4.96,0.8118281193435879
-1.97,4.96,0.8136799964772155
-1.97,4.95,0.8106102183889005
-1.96,4.95,0.812464989007752
-1.95,4.95,0.8143197596266032
-1.95,4.94,0.8112707138607467
-1.94,4.94,0.813125484477358
-1.94,4.93,0.8100764387151032
-1.93,4.93,0.8119135362072578
-1.92,4.93,0.8137686917398935
-1.92,4.92,0.8107049805831716
-1.91,4.92,0.8125601361110444
-1.9,4.92,0.8144152916374939
-1.9,4.91,0.811363800893742
-1.89,4.91,0.8132231085189877
-1.89,4.9,0.8101647238214789
-1.88,4.9,0.8120240314519436
-1.87,4.9,0.8138833390846216
-1.87,4.89,0.8108425408158211
-1.86,4.89,0.8126806836214426
-1.86,4.88,0.8096380643543459
-1.85,4.88,0.8114762071533148
-1.84,4.88,0.8133143499717082
-1.84,4.87,0.8102177759642957
-1.83,4.87,0.81205908510707
-1.82,4.87,0.8139003942288708
-1.82,4.86,0.810843147230585
-1.81,4.86,0.8126844563467129
-1.81,4.85,0.8096028356670365
-1.8,4.85,0.8114413932029193
-1.79,4.85,0.8132799507203645
-1.79,4.84,0.8101945193336293
-1.78,4.84,0.8120330768078106
-1.77,4.84,0.813871634310443
-1.77,4.83,0.8108238852796456
-1.76,4.83,0.8126837982065495
-1.76,4.82,0.8095798961974672
-1.75,4.82,0.811439809108738
-1.74,4.82,0.8133697851807706
-1.74,4.81,0.8103080740861357
-1.73,4.81,0.8121607353064919
-1.72,4.81,0.8140133965371582
-1.72,4.8,0.8109797528511723
-1.71,4.8,0.812846826312504
-1.71,4.79,0.8097843709648966
-1.7,4.79,0.8116514445274546
-1.69,4.79,0.8135185181278508
-1.69,4.78,0.8104560630158155
-1.68,4.78,0.8123143440739977
-1.67,4.78,0.8141947603680808
-1.67,4.77,0.8111537114087408
-1.66,4.77,0.8130341277043345
-1.66,4.76,0.8099930786779905
-1.65,4.76,0.8118507521639549
-1.64,4.76,0.8137331496391852
-1.64,4.75,0.8107170514945476
-1.63,4.75,0.812599448971452
-1.63,4.74,0.8095833508255911
-1.62,4.74,0.8114657483019065
-1.61,4.74,0.8133353967310306
-1.61,4.73,0.81030286284355
-1.6,4.73,0.8122075425742066
-1.59,4.73,0.8141122223638559
-1.59,4.72,0.8111046234492536
-1.58,4.72,0.8130030180072645
-1.58,4.71,0.809969423991959
-1.57,4.71,0.8118678185506188
-1.56,4.71,0.8137662131093754
-1.56,4.7,0.8106206331487611
-1.55,4.7,0.812481836470042
-1.54,4.7,0.8143430398686807
-1.54,4.69,0.8113139946997981
-1.53,4.69,0.8131751983691438
-1.53,4.68,0.8102689099926497
-1.52,4.68,0.812104860252604
-1.51,4.68,0.8139408105013687
-1.51,4.67,0.8109646214714633
-1.5,4.67,0.8128005717490382
-1.5,4.66,0.8097609962569174
-1.49,4.66,0.8115820564521224
-1.48,4.66,0.813403116869092
-1.48,4.65,0.8104234658416091
-1.47,4.65,0.8122445261530371
