U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
-3.7,5.8,5.689389124653177,1.5082165805492171,0.07113999461846855
-3.65,5.8,5.687875778183869,1.515263179299385,0.07142941214947962
-3.6,5.8,5.686369672474029,1.5222874321671915,0.0717177819532913
-3.55,5.8,5.6847874872626605,1.5296250976283126,0.07201791852135235
-3.55,5.75,5.68617141929724,1.5124861693625717,0.0713569291241591
-3.5,5.75,5.684607937494572,1.5197533547459872,0.07165526598629357
-3.45,5.75,5.683078396513699,1.526891240040044,0.07194851709602751
-3.45,5.7,5.684408841990878,1.5099814248769323,0.07129616530759349
-3.4,5.7,5.682911848277359,1.516992916322663,0.07158545562829915
-3.35,5.7,5.681221942762018,1.5247892388998863,0.07190473465980504
-3.35,5.65,5.682550339808367,1.5079013463080497,0.0712531413214424
-3.3,5.65,5.6810413520462655,1.514973642991955,0.07154549671380254
-3.25,5.65,5.679510859106667,1.5221397088044606,0.0718412519870424
-3.2,5.65,5.678258973669873,1.528187999306912,0.07209392707144097
-3.2,5.6,5.679321126012846,1.5123871088518743,0.07148504453802593
-3.15,5.6,5.678529128905825,1.5165836190998978,0.07166726112385302
-3.1,5.6,5.67662250700451,1.525286562155591,0.0720228242852142
-3.1,5.55,5.678296707707139,1.5070294117499325,0.07131901822133402
-3.05,5.55,5.676510277031428,1.5152520404440528,0.0716571467109125
-3.0,5.55,5.673485214028225,1.5283049992904985,0.07190511337237152
-3.0,5.5,5.67505761026016,1.5106560567099288,0.07150104839901807
-2.95,5.5,5.673408320580953,1.5181535003440103,0.07157091825209179
-2.9,5.5,5.6728096,1.5215947511708314,0.07197956049984712
-2.85,5.5,5.672120880570926,1.5254055867724978,0.07246958692427284
-2.85,5.45,5.6728096,1.5111588686479367,0.07159973257578192
-2.8,5.45,5.672039542507239,1.515303609452941,0.07213905275463565
-2.75,5.45,5.669256805726632,1.527789713415127,0.07227188373288951
-2.75,5.4,5.671953675425433,1.50524089428536,0.07181146616193697
-2.7,5.4,5.668993875071515,1.5184499497783572,0.07193613687814383
-2.65,5.4,5.667386824862833,1.5260030324759932,0.0722502677773873
-2.65,5.35,5.668745721976643,1.509071740159158,0.07159864512821773
-2.6,5.35,5.667130652749731,1.5166626756873736,0.07191522752913224
-2.55,5.35,5.665537192416293,1.5241734980253485,0.0722285364938639
-2.55,5.3,5.666885534337651,1.5072994239535473,0.07157906773913858
-2.5,5.3,5.66522246593156,1.515098328342792,0.0719045096211699
-2.45,5.3,5.663558332391333,1.5229089794103128,0.07223018306857851
-2.4,5.3,5.661914798556192,1.5306442839611565,0.07255278158557621
-2.4,5.25,5.663308965280987,1.5135955269798205,0.07189773447531247
-2.35,5.25,5.661668009826936,1.5213258014416788,0.07222114713683403
-2.3,5.25,5.660014646428629,1.529114234446872,0.07254663338307889
-2.3,5.2,5.661336297439675,1.5123747277125557,0.0719035294366163
-2.25,5.2,5.659689290119167,1.5201427449913398,0.07222922521771144
-2.2,5.2,5.658011551782249,1.528043777776883,0.0725598918038061
-2.2,5.15,5.659348154922377,1.511257675051941,0.07191500585334319
-2.15,5.15,5.657683000700639,1.5191134355042895,0.07224494107224277
