# x,y,Eg(eV)
0.000000000000000000e+00,7.500000000000000000e-01,7.172150758838826690e-01
0.000000000000000000e+00,5.000000000000000000e-01,6.977811942160118130e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.355285014743633554e-01
2.500000000000000000e-01,0.000000000000000000e+00,9.989289113844906920e-01
0.000000000000000000e+00,2.500000000000000000e-01,9.363192034913830897e-01
1.000000000000000000e+00,5.000000000000000000e-01,1.045430608208575557e-01
2.500000000000000000e-01,1.000000000000000000e+00,3.793177121215764447e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.142563351347383849e-01
1.000000000000000000e+00,7.500000000000000000e-01,1.453181187930880081e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.517938341614026632e+00
5.000000000000000000e-01,0.000000000000000000e+00,7.146058329452784630e-01
1.000000000000000000e+00,2.500000000000000000e-01,2.329305910681931657e-01
5.000000000000000000e-01,1.000000000000000000e+00,2.874088919936828579e-01
1.000000000000000000e+00,0.000000000000000000e+00,4.176525496771424373e-01
7.500000000000000000e-01,0.000000000000000000e+00,5.624860073713860986e-01
7.500000000000000000e-01,1.000000000000000000e+00,2.748881451167848322e-01
